id,facility_name,country,country_code,text_content,specialties,has_icu,has_emergency,source_url,latitude,longitude
MW_zalewa_health_center,Zalewa Health Center,null,MW,Zalewa Health Center hospital MW,null,true,true,https://www.openstreetmap.org/node/1138046291,-15.4479497,34.8499233
BF_accueil_service_renseignement,Accueil Service renseignement,null,BF,Accueil Service renseignement hospital BF,null,true,true,https://www.openstreetmap.org/node/6664097898,11.1708481,-4.3011626
BF_csps_de_dandougou,CSPS de Dandougou,null,BF,CSPS de Dandougou hospital BF,null,true,true,https://www.openstreetmap.org/node/6868115020,10.5247807,-4.0599874
RW_munini_hospital,Munini Hospital,null,RW,Munini Hospital hospital RW,null,true,true,https://www.openstreetmap.org/node/10621783645,-2.7116553,29.5325538
SL_shriners_hospitals_for_children,Shriners Hospitals for Children,null,SL,Shriners Hospitals for Children hospital SL,null,true,true,https://www.openstreetmap.org/node/6979628967,8.4637086,-13.2269431
LR_james_n_david_memorial_hospital,James N. David Memorial Hospital,null,LR,James N. David Memorial Hospital hospital LR,null,true,true,https://www.openstreetmap.org/node/7694981828,6.3110682,-10.7201861
MG_csb_ii_de_saint_augustin,CSB II de Saint-Augustin,null,MG,CSB II de Saint-Augustin hospital MG,null,true,true,https://www.openstreetmap.org/node/6574709629,-23.5517672,43.762153
MG_centre_hospitalier_r_gional_de_r_f_rence_maintirano,Centre Hospitalier Régional de Référence Maintirano,null,MG,Centre Hospitalier Régional de Référence Maintirano hospital MG,null,true,true,https://www.openstreetmap.org/node/6679524325,-18.0618968,44.0229249
NE_centre_hospitalier_r_gional_de_dosso,Centre Hospitalier Régional de Dosso,null,NE,Centre Hospitalier Régional de Dosso hospital NE,null,true,true,https://www.openstreetmap.org/node/2425327794,13.0469477,3.2003374
NE_clinique_habou,CLINIQUE Habou,null,NE,CLINIQUE Habou hospital NE,null,true,true,https://www.openstreetmap.org/node/9810407793,13.9625219,5.5070606
ML_h_pital_de_s_var_,Hôpital de Sévaré,null,ML,Hôpital de Sévaré hospital ML,null,true,true,https://www.openstreetmap.org/node/2163840431,14.52742,-4.09344
